Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches
Andrew Robertson\2e4f5f03,sct SCO,DF,26,37.6,3543,113,820,1631,1318,105,3037,29,53,54.7,35,3,2281,10496,6289,239,96,12,39,20,2593,2383,91.9,164,Matches
Mohamed Salah\e342ad68,eg EGY,FW,28,34.2,1758,13,70,621,1162,313,1724,50,98,51,56,2,1367,6332,3460,218,52,54,115,92,2137,1444,67.6,415,Matches
Trent Alexander-Arnold\cd1acf9d,eng ENG,DF,21,33.7,3259,80,774,1474,1206,86,2764,38,67,56.7,41,4,2058,8849,5262,216,72,25,17,21,2293,2159,94.2,119,Matches
Georginio Wijnaldum\eb58eef0,nl NED,MF,29,32.7,1983,40,339,1285,540,47,1949,34,51,66.7,36,2,1516,8574,4054,173,73,6,24,26,1666,1505,90.3,80,Matches
Alisson\7a2e46a8,br BRA,GK,27,33,1227,969,1220,10,1,1,993,3,3,100,3,0,640,2289,1274,0,0,0,0,0,657,655,99.7,0,Matches
Roberto Firmino\4c370d81,br BRA,FW,28,31.5,1675,16,130,777,859,217,1634,50,73,68.5,53,5,1176,5353,2817,168,38,32,59,53,1811,1284,70.9,309,Matches
Sadio Mané\c691bfe2,sn SEN,FW,28,31.2,1590,16,108,605,1016,283,1576,84,142,59.2,90,6,1204,6834,3848,223,71,54,98,82,1939,1265,65.2,397,Matches
Fabinho\7f3b388c,br BRA,DFMF,26,28.5,2334,175,916,1372,176,13,2288,5,9,55.6,6,0,1507,7484,4215,156,26,2,8,13,1717,1677,97.7,17,Matches
Thiago Alcántara\77e84962,es ESP,MF,29,20.6,1902,33,347,1228,460,18,1865,28,42,66.7,30,1,1358,5921,3222,154,58,4,15,18,1513,1432,94.6,38,Matches
Jordan Henderson\935e6b8f,eng ENG,MFDF,30,18.9,1952,75,516,1297,278,15,1912,7,13,53.8,7,1,1358,8228,4457,150,44,1,7,3,1577,1525,96.7,18,Matches
Nathaniel Phillips\515ebe8d,eng ENG,DF,23,16.2,1284,157,628,645,57,20,1262,1,1,100,1,0,776,4044,1869,47,7,1,6,2,862,842,97.7,3,Matches
Curtis Jones\4fb9c88f,eng ENG,MF,19,13.1,1122,15,148,661,409,30,1112,15,29,51.7,17,0,893,4666,2420,131,44,9,14,27,1001,910,90.9,71,Matches
Diogo Jota\178ae8f8,pt POR,FW,23,12.4,638,7,58,282,352,96,635,26,46,56.5,29,3,467,2732,1734,87,28,20,30,27,674,502,74.5,133,Matches
James Milner\2f90f6b8,eng ENG,MFDF,34,11.9,1056,29,192,605,308,25,992,6,13,46.2,6,1,686,2919,1566,69,24,1,6,11,795,731,91.9,33,Matches
Ozan Kabak\2d61d13a,tr TUR,DF,20,8.9,645,87,340,332,11,5,634,5,8,62.5,5,0,437,2085,999,24,1,0,0,2,460,455,98.9,0,Matches
Joël Matip\b217ef29,cm CMR,DF,28,7.7,583,51,268,335,24,6,575,0,0,,0,0,353,2008,1296,38,12,0,0,2,431,422,97.9,0,Matches
Rhys Williams\012c975a,eng ENG,DF,19,7.3,543,69,273,271,18,9,536,1,1,100,1,0,329,1398,549,14,2,0,0,0,373,366,98.1,2,Matches
Naby Keïta\f25c8e3a,gn GUI,MF,25,5.8,426,6,50,278,132,18,415,12,15,80,13,0,301,1452,837,50,17,2,10,12,352,316,89.8,25,Matches
Joe Gomez\7a11550b,eng ENG,DF,23,6.6,591,69,267,353,6,0,585,4,4,100,4,0,420,1920,1072,28,0,0,1,6,427,425,99.5,0,Matches
Xherdan Shaqiri\6421ec64,ch SUI,MFFW,28,6.2,484,3,46,208,257,16,459,6,6,100,6,0,350,1243,457,20,9,0,9,12,428,370,86.4,41,Matches
Virgil van Dijk\e06683ca,nl NED,DF,29,4.1,353,25,146,213,9,5,350,0,0,,0,0,246,890,413,13,0,0,1,0,289,282,97.6,3,Matches
Adrián\f76e6b4e,es ESP,GK,33,3,113,102,113,0,0,0,84,0,0,,0,0,50,162,74,0,0,0,0,0,47,46,97.9,0,Matches
Neco Williams\dd323728,wls WAL,DF,19,2.8,244,5,58,93,103,10,216,6,9,66.7,6,0,174,774,384,21,5,1,1,2,176,163,92.6,15,Matches
Takumi Minamino\f833a830,jp JPN,MFFW,25,3.3,171,5,20,93,68,12,167,8,9,88.9,8,0,126,506,202,14,3,3,5,6,178,131,73.6,20,Matches
Alex Oxlade-Chamberlain\38c7feef,eng ENG,FWMF,26,2.8,174,3,11,98,77,7,172,2,7,28.6,3,0,111,641,319,16,7,0,8,7,174,130,74.7,23,Matches
Divock Origi\43a166b4,be BEL,FW,25,2.1,94,3,9,38,57,15,93,1,4,25,1,0,68,336,215,10,6,3,8,4,122,66,54.1,22,Matches
Caoimhín Kelleher\62d7ef38,ie IRL,GK,21,2,68,57,68,0,0,0,51,0,0,,0,0,28,98,27,0,0,0,0,0,33,33,100,0,Matches
Kostas Tsimikas\f315ca93,gr GRE,DFFW,24,0.1,10,0,1,3,6,0,8,0,0,,0,0,8,29,12,2,0,0,1,1,11,8,72.7,1,Matches
Squad Total,,,26.8,38,29822,2223,7936,14808,8910,1372,28088,421,703,59.9,457,28,20288,98263,53343,2281,695,230,482,449,24736,21527,87,1949,
Opponent Total,,,26.6,38,20195,3293,8920,8299,4063,643,18614,336,565,59.5,365,25,11465,56942,29695,1023,306,125,416,363,14501,11661,80.4,856,
